,dustrate,dustrad,site,spinrun,climatefiles,duration,dustsp,dustsp_2nd,dustrate_2nd,add_secondary,imix,singlerun_seasonality,include_psd_full,include_psd_bulk,poro_iter_field,poro_evol,cec_adsorption_on,climatedir,sa_rule1,sa_rule2,psdrain_log10_sd,psdrain_wt,use_psdrain_datfile,include_roughness_sa,aws_save,aws_bucket,newrun_id,newrun_id_field_full,newrun_id_lab_full,rerun_needed,delay_needed,delete_localCase,rerun_n,delay_n,rerun_eligible
347,8000.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_8000p0_psize_15,hiFert_gbas_base_site_311a_app_8000p0_psize_15_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_8000p0_psize_15_gbas_lab_tau15p0,True,True,False,1,1,True
349,8000.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_8000p0_psize_30,hiFert_gbas_base_site_311a_app_8000p0_psize_30_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_8000p0_psize_30_gbas_lab_tau15p0,True,True,False,1,1,True
366,10000.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_15,hiFert_gbas_base_site_311a_app_10000p0_psize_15_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_15_gbas_lab_tau15p0,True,True,False,1,1,True
367,10000.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_20,hiFert_gbas_base_site_311a_app_10000p0_psize_20_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_20_gbas_lab_tau15p0,True,True,False,1,1,True
369,10000.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_40,hiFert_gbas_base_site_311a_app_10000p0_psize_40_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_40_gbas_lab_tau15p0,True,True,False,1,1,True
371,10000.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_60,hiFert_gbas_base_site_311a_app_10000p0_psize_60_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_60_gbas_lab_tau15p0,True,True,False,1,1,True
372,10000.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_70,hiFert_gbas_base_site_311a_app_10000p0_psize_70_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_70_gbas_lab_tau15p0,True,True,False,1,1,True
373,10000.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_80,hiFert_gbas_base_site_311a_app_10000p0_psize_80_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_80_gbas_lab_tau15p0,True,True,False,1,1,True
377,10000.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_175,hiFert_gbas_base_site_311a_app_10000p0_psize_175_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_175_gbas_lab_tau15p0,True,True,False,1,1,True
379,10000.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,35.0,False,3,False,False,False,False,True,False,,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,hiFert_gbas_base_site_311a_app_10000p0_psize_250,hiFert_gbas_base_site_311a_app_10000p0_psize_250_gbas_field_tau15p0,hiFert_gbas_base_site_311a_app_10000p0_psize_250_gbas_lab_tau15p0,True,True,False,1,1,True
